Date,ADS.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,CON.DE,DB1.DE,DBK.DE,DHER.DE,DPW.DE,DTE.DE,DWNI.DE,EOAN.DE,FME.DE,FRE.DE,HEI.DE,HEN3.DE,IFX.DE,LHA.DE,MRK.DE,MUV2.DE,RWE.DE,SAP.DE,SIE.DE,TKA.DE,VOW3.DE
2016-01-04,78.00470733642578,111.40584564208984,44.82949447631836,83.98252868652344,76.8247299194336,64.88023376464844,170.099609375,66.45728302001953,18.020273208618164,,18.965429306030273,11.181769371032715,22.08687400817871,5.397101402282715,64.55164337158203,54.8622932434082,57.58403015136719,84.21919250488281,11.953619003295898,13.414033889770508,78.15672302246094,130.2933807373047,8.720815658569336,63.26057815551758,66.17284393310547,16.669172286987305,90.45698547363281
2016-01-05,77.73738861083984,111.76289367675781,44.57741165161133,84.1337890625,77.65812683105469,64.57781219482422,171.16619873046875,66.25287628173828,18.310108184814453,,18.95791244506836,11.14691162109375,21.932701110839844,5.45567512512207,68.34169006347656,55.43222427368164,57.359031677246094,83.96391296386719,11.816746711730957,13.831050872802734,79.49034118652344,129.85458374023438,8.905170440673828,64.02243041992188,66.59062957763672,16.816267013549805,86.87877655029297
2016-01-06,76.83741760253906,112.1199722290039,43.8344612121582,82.92376708984375,77.15618896484375,62.43974304199219,165.75430297851562,65.4267349243164,18.158891677856445,,18.860193252563477,11.216623306274414,21.725662231445312,5.433791160583496,68.99931335449219,55.21302032470703,56.29610824584961,83.53848266601562,11.451750755310059,14.048824310302734,78.38353729248047,130.2202606201172,8.949254035949707,64.57813262939453,66.32759094238281,16.48411750793457,85.08967590332031
2016-01-07,75.64335632324219,109.79903411865234,42.766456604003906,80.80624389648438,75.27157592773438,60.0906982421875,161.72499084472656,63.86813735961914,17.76824378967285,,18.28890037536621,11.14691162109375,21.086931228637695,5.280599594116211,67.53695678710938,53.6347541809082,55.08576965332031,81.69209289550781,11.168878555297852,13.909820556640625,75.87962341308594,127.8067398071289,8.70478343963623,63.94175338745117,65.05874633789062,15.895734786987305,82.29867553710938
2016-01-08,74.36021423339844,108.40644836425781,42.242408752441406,78.57527923583984,75.08214569091797,58.68408203125,160.22389221191406,63.35713577270508,17.192768096923828,,18.085941314697266,10.983089447021484,21.02526092529297,5.180831432342529,67.06104278564453,53.371707916259766,53.84440231323242,81.08797454833984,10.886007308959961,13.826416969299316,75.39878845214844,126.4171371459961,8.528444290161133,63.68183898925781,64.6100082397461,15.53037166595459,82.37024688720703
2016-01-11,75.97306823730469,108.83492279052734,41.95716094970703,77.74340057373047,74.4192123413086,58.47308349609375,159.03878784179688,63.55302047729492,17.394393920898438,,17.834121704101562,10.92034912109375,20.7213134765625,5.260645866394043,65.72846221923828,52.10032272338867,53.534061431884766,79.94781494140625,10.949880599975586,13.580839157104492,74.21033477783203,126.56342315673828,8.776924133300781,64.1748046875,64.19223022460938,15.354806900024414,83.7657470703125
2016-01-12,76.89086151123047,110.1917953491211,42.660316467285156,78.8021469116211,76.66371154785156,59.67573928833008,162.12002563476562,65.06051635742188,17.654827117919922,,18.02580451965332,11.077200889587402,21.223487854003906,5.341746807098389,66.6629867553711,53.55583953857422,54.28664779663086,81.394287109375,11.077629089355469,13.298195838928223,75.53488159179688,128.391845703125,8.841046333312988,66.54998779296875,64.5635757446289,15.26939868927002,86.55673217773438
2016-01-13,76.4007797241211,110.37032318115234,42.64042282104492,78.91558837890625,77.14672088623047,58.29725646972656,158.64378356933594,65.04348754882812,17.554014205932617,,17.807809829711914,11.091143608093262,21.17062759399414,5.558017253875732,65.89286041259766,53.53830337524414,53.557334899902344,82.16858673095703,11.091316223144531,13.270393371582031,75.4078598022461,129.70831298828125,9.157657623291016,66.08391571044922,64.3160171508789,15.127047538757324,86.23469543457031
2016-01-14,75.48297119140625,108.47785949707031,42.401607513427734,77.78121185302734,75.34732055664062,56.342063903808594,155.0489959716797,65.06903076171875,16.806318283081055,,17.578540802001953,10.934292793273926,21.10895538330078,5.496225833892822,64.49107360839844,52.65271759033203,52.20734786987305,80.40727996826172,10.899693489074707,12.81630802154541,74.2284927368164,128.6112518310547,9.093533515930176,65.45650482177734,64.43206787109375,15.070107460021973,83.01431274414062
2016-01-15,74.85922241210938,106.58538818359375,41.00193786621094,76.07962799072266,74.3055648803711,54.872135162353516,151.29623413085938,63.936275482177734,16.113231658935547,,17.078657150268555,10.7251558303833,20.465818405151367,5.270944595336914,62.39704895019531,51.17090606689453,49.83323287963867,79.53939819335938,10.3795747756958,12.612434387207031,71.85157775878906,126.74626922607422,8.676729202270508,63.3502082824707,63.209651947021484,14.462747573852539,80.08018493652344
2016-01-18,79.537353515625,105.7641372680664,40.325313568115234,76.4199447631836,74.82644653320312,54.92841720581055,152.4022979736328,63.81705093383789,15.583966255187988,,17.056110382080078,10.634530067443848,20.41736602783203,5.279312610626221,62.059566497802734,50.97800827026367,49.56943893432617,76.27204895019531,10.662447929382324,12.431727409362793,72.44127655029297,125.79546356201172,8.748868942260742,63.83421325683594,62.92339324951172,14.339376449584961,78.97093963623047
2016-01-19,81.9789047241211,106.9067611694336,40.577388763427734,77.51652526855469,76.5595474243164,55.46292495727539,153.58737182617188,64.28547668457031,15.844398498535156,,17.356788635253906,10.836695671081543,20.76095962524414,5.682888031005859,63.746910095214844,51.9951057434082,50.74873733520508,77.36967468261719,10.84038257598877,12.668036460876465,73.33033752441406,127.98958587646484,9.506328582763672,64.79324340820312,63.64291763305664,14.410552978515625,78.79203796386719
